RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21
10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,227153,225738,225814,225790,226306,226934,226823,227619,227965,229548,230763,232288,233713,236532,238128,239031,239844,240699,243265,243792,245395,245060,247009,249559,252919,256133,260220,264948,268692,272638,275153,280022,284702,291083,294773,297409,300138,302936,305898,308025,312198,317224,325188,332824,341403,348847,357074,365222,371597,378817,386061,395909,404810,413141,421156,427979,434464,440437,448867,457899,468800,478859,489467,497321,503139,507544,511031,515419,520292,526934,532084,537778,541938,546760,550444,555902,560949,564810,566155,568597,573030,578432,584703,590102,596168,602138,608381,615301,627128,645215,666133,683097,691520,696113,699495,706128,711874,718187,722528,730107,734590,738618,744239,754783,775133,791742,805738,811054,820490,830897,852911,870115,885964,896002,905748,919614,929972,952127,972598,993103,1014135,1031472,1036813,1029700,1030036,1041047,1047230,1039401,1019836,998643,987181,994059,993135,994168,985104,986377,986104,980590,983519,979644,983822,983347,984653,981326,981794,978175,981946,986869,982282,972851,959383,968822,983734,998165,999744,992474,981811,971214,965722,962353,964838,963025,949522,927401,902735,884026,875582,867897,862948,859404,857732,858577,857298,861412,873807,884747,894655,901599,903460,907964,911085,918435,921686,917634,914952,913352,915206,916325,917043,914861,916569,917022,920482,918127,916994,919167,923393,927638,928858,931019,935553,943548,948030,952211,955760,963008,968914,975335,981485,987966,995601,1004597,1012581,1021168,1030807,1044071,1058662,1073593,1090604,1105998,1120727,1132676,1143155,1153368,1163785,1171868,1179067,1183382,1186856,1190462,1193796,1199146,1203161,1211015,1218343,1227509,1233671,1242906,1253029,1260988,1269494,1273215,1282550,1286190,1291949,1291596,1295069,1294632,1296483,1295831,1296560,1299640,1295786,1289389,1271168,1258500,1248764,1243493,1241184,1237406,1238680,1230481,1218767,1207579,1197494,1206884,1216874,1234877,1240381,1251016,1254424,1269216,1271047,1278074,1274171,1268144,1284998,1292920,1311962,1297714,1291506,1272938,1256977,1231152,1207874,1193015,1186777,1184383,1176108,1155879,1129365,1109779,1096961,1091641,1087154,1085121,1086397,1082450,1078831,1074640,1066881,1069011,1073214
10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,200946,200989,201100,201816,202857,203710,203994,204078,204399,205007,205821,206659,207782,209376,211333,212752,213964,215492,217789,220178,222529,224718,227125,229875,232444,234263,235564,236717,237930,239746,241973,244717,246685,248736,250286,251912,253128,254831,256976,259689,262090,263561,265245,267510,271600,275031,278049,279682,282261,285411,288856,292617,297301,303342,308925,314052,317627,321958,326632,332722,338278,344184,350021,354769,358239,360642,364059,366918,370636,374088,378589,382766,387140,390972,394847,399069,402986,405252,407456,410122,414127,417625,421128,424800,428591,432637,436479,440906,447438,458220,466103,472893,475649,480142,484467,488220,491182,494715,497664,503831,507246,510600,516322,525252,538081,547115,552669,556784,563432,571016,582664,590093,599810,607740,616220,623835,630143,642877,657326,668890,681125,688732,695038,694526,697974,703280,706799,705470,697648,686919,679203,681983,680905,681135,677135,680721,685198,683838,685102,681851,683257,682562,681957,681307,682913,688749,691375,692975,683833,683666,685583,702244,722080,745122,764283,777015,783150,781487,784179,788096,796887,793008,777542,754816,734158,717209,709281,699260,693516,686996,684504,683768,684319,690085,704777,716721,725420,727623,724700,725539,729683,739529,746596,747901,747937,748754,747358,750038,751955,757347,762035,766144,766233,766210,765439,769381,773994,778153,781280,780708,782615,785764,788661,792216,796917,801991,807186,812057,816735,821416,827648,838342,848705,855974,863940,873578,886656,896726,907511,914880,925949,935303,944056,949933,956346,964814,970346,971943,971450,975190,977883,982062,983083,989146,995746,1004526,1010484,1015119,1020887,1027807,1034797,1038864,1043497,1047879,1051509,1051692,1052516,1054179,1054780,1051290,1046562,1046132,1046234,1045737,1045180,1050422,1056465,1058207,1051532,1035438,1025378,1022655,1028565,1033575,1038723,1043943,1039470,1030217,1019498,1016279,1018159,1030772,1045485,1054914,1047635,1023463,995696,973026,972212,965356,965794,963549,964537,958333,940105,934906,942932,966318,982130,986457,982331,989847,995933,998619,998643,1001866,1013305,1016169,1014689,1009092,1011561,1021442,1029770
10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832062,824606,817498,801612,786385,770151,755537,743421,732298,719856,708205,696464,687984,678051,671755,667149,662629,661941,664715,667816,669814,674008,676452,680188,681706,687180,690107,695356,703693,710002,710317,707121,707957,708574,714624,718509,720435,720315,717468,715376,711030,709243,708239,710533,710539,716824,717892,726760,739985,751770,759104,757718,758651,759901,769276,776775,785201,786816,791988,795239,797195,801626,810958,825727,840886,854087,857263,861655,864451,869174,868682,870996,880318,890842,898519,902691,905625,907800,914062,920686,929556,936307,947874,948084,941160,927803,923269,924613,930168,933888,936212,936851,940970,939320,935194,929708,933375,935545,931733,917947,895777,882579,871241,863750,843889,835514,830187,839094,833188,836204,836591,847251,856808,855702,851231,842173,847021,855085,866628,871253,881820,890586,896315,894208,894171,903035,920206,944958,963254,967690,966063,971049,981282,980483,972204,963773,959150,954773,944821,930869,917405,910523,905972,897203,884429,877971,878429
11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,178939,178042,176987,175656,175035,175304,175524,175670,175873,176143,176180,176096,176521,178095,180418,182323,183362,183574,184107,184914,185654,186326,187561,189839,192397,193503,194560,195136,196350,196998,197428,197979,199120,200791,202427,202628,201164,200308,199267,199529,199424,200633,202766,205229,207312,209135,211032,213589,216596,219610,222326,224371,226414,228375,230180,231430,232680,233633,235163,237444,240673,243023,245188,247145,249851,252350,254986,257538,260344,263861,266500,268141,268949,271403,273953,276447,277020,277713,277995,279698,281301,283036,284762,287137,289437,291383,294250,298318,303567,308272,309956,310111,308453,307100,306342,306085,308188,310638,312970,312421,313175,313256,317609,320606,327909,334297,342436,348411,352165,355812,362509,372126,379143,384930,392952,403324,414817,423017,428990,434958,440351,446584,444711,446467,450040,461159,466094,469585,467070,470461,471764,476923,481641,485122,492628,496418,501842,501440,502819,505447,505385,504354,504305,504423,506383,506455,507917,504891,499743,494707,490344,486822,485448,482630,480766,476731,469394,460090,452211,448599,444328,439052,433006,428056,424996,422270,420303,416942,417726,422725,421104,417925,415698,419267,424168,424536,425063,424630,423084,421903,419365,416457,418547,418908,418756,414416,410933,410327,409975,410584,411190,412811,413743,414424,416627,422194,427507,430760,432112,433839,433790,434887,437410,440303,444028,445480,445830,443423,442331,443436,445171,447140,450878,454406,456991,460484,462673,467407,469484,474600,479353,484464,490834,496158,501652,505309,507829,510913,517625,525400,532842,539199,546503,555211,560877,565928,570988,578064,587079,591757,593532,594007,596675,600373,601781,602875,603483,605426,606189,607505,610345,616287,621576,624969,631588,637314,642247,645639,652749,662884,673627,679670,680659,680242,679114,677581,671623,668226,670149,672838,677169,678002,676368,679705,685380,689329,694482,702188,712122,714333,711380,705554,697440,687543,684096,676310,669252,659084,656268,653410,654577,654454,655331,657204,658504,661081,659057,657760,654971,654540,647604,638926,626094
10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,69718,69317,69163,68621,68456,68262,68313,68104,67999,68069,68225,68394,68416,68857,69198,69808,69737,69764,69610,70057,70592,70782,70931,71116,71701,71910,71971,71995,72446,72942,73208,73295,73064,73146,73241,73448,73654,73825,74238,74476,74890,75380,76286,76987,77901,78833,79789,80656,80966,81778,82531,83843,84814,85824,86400,87089,87839,88657,89613,90200,91066,91243,91750,92023,92699,93410,94211,94895,95297,95570,95839,96656,97555,98715,99423,100080,100805,102133,103495,104607,105264,106085,107024,107758,108504,109061,109702,110068,110281,109092,108684,108792,110052,110421,110391,110883,111798,113110,114676,116579,118820,121212,122326,123260,124084,126331,129137,131005,132528,134221,135908,137886,138707,140688,143023,145529,147879,150110,151759,153970,155700,157512,158814,159718,161145,162166,164094,166423,168851,170013,171381,172524,173915,174561,176312,178570,180872,181740,181608,181103,180534,180188,179825,179462,179427,179277,177950,176003,174515,175029,175606,175210,173633,171730,169806,167081,164285,160779,157416,154722,152823,150748,147610,144982,142617,142143,141327,142005,141536,141487,140503,139782,138404,136006,134232,132854,132881,131735,131291,128964,128104,127446,128840,127862,126137,125288,126312,126990,126457,125333,123308,122737,122131,123546,123693,125173,125631,125757,124519,124017,123760,124011,125201,126600,127121,125239,124019,123778,125729,127294,128686,129073,129915,131095,132082,131737,131808,132715,134072,134352,133772,132943,132528,133284,133831,134464,134237,134923,136814,138464,139134,139617,140536,142483,144490,145045,145089,144298,144991,146025,145126,144280,143342,144547,145331,145950,145907,146194,147284,149298,150957,151757,152844,154570,156565,157115,157648,159121,161343,164603,167630,170061,170805,172518,174898,176467,178195,179343,181445,181210,181147,180916,180793,180620,182969,184486,186370,187663,189691,190669,191297,191298,193364,195408,200355,204951,208139,209600,209262,208404,205789,205017,203848,205185,204679,204260,201885,200275,199158,199852,201772,204815,209057
10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,174336,173744,173278,172562,172142,171903,171476,171062,170778,170728,170882,171208,172022,173355,175164,176887,178461,179828,181376,182824,184324,185880,187818,189718,191356,192383,192783,193001,193297,194317,195835,198085,200324,202635,204409,206375,208114,209862,211707,213732,216351,218684,221887,225218,228962,232005,234349,236293,237902,240505,243734,247739,251566,255597,259196,262189,265166,268568,273627,279725,286539,292612,297760,302057,305728,308603,310868,313571,316625,320409,323662,326108,328948,332193,336276,340155,343505,345957,347654,349530,352254,355319,358866,362806,366399,369879,372783,376822,383024,392998,403790,412994,418627,423023,426798,430212,432516,435868,439927,445639,449497,452039,456484,464199,476438,485712,492863,498388,506430,514354,525475,534946,544952,554612,563759,573539,581075,594939,608625,619885,632626,642621,648421,645287,646283,650921,652972,649319,639594,630661,625332,630439,628668,625294,617002,615781,617060,613537,614164,612262,614437,616991,619757,621917,623258,629899,639956,651485,649912,648068,643800,647529,655269,654477,652131,642586,639533,633144,628553,623229,622681,619403,610406,597997,584810,577139,573296,570272,567316,564154,560999,559530,558163,559601,566126,572855,578767,583489,585221,588104,590143,594421,598708,599548,601416,603692,605989,608126,608801,608435,608325,608293,607766,605216,602590,601790,602179,601982,600670,600661,603301,608546,612277,615774,618589,622320,624860,628391,630988,634758,639772,645111,648604,651799,656291,662649,670360,677734,686210,692734,701454,709812,717484,723909,731342,737429,741774,743985,746697,751311,755350,760130,761767,764252,766175,770210,772491,775925,781041,785846,788643,789682,791903,794309,796061,795159,793720,792873,792302,792339,790695,792988,794598,794144,791225,789055,789854,794288,800184,801012,801181,796962,793798,787098,786244,790255,793712,794106,790764,787616,783569,784266,786213,789517,793009,794447,788043,779431,774168,772137,774134,770833,771029,762110,752573,744310,740697,742889,745500,742385,737073,731561,727346,724578,719370,719429,719602,718969,714823,707863,702938,702278,702050
11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,156669,155498,154861,154515,154860,155328,155535,156142,156631,157629,158838,160728,162981,165697,168275,169051,169286,169299,170361,170427,172104,172673,173695,173759,173163,173220,174076,176591,179661,183106,185499,188912,190308,193750,197050,200550,204898,209687,214231,217737,219435,222292,226532,231766,236965,239515,240704,243202,246199,249392,251823,254621,258356,261857,265309,267910,272620,280805,289387,297312,302757,308771,314934,321823,329044,334894,339887,345165,350366,353822,358910,364340,372105,377966,382507,385746,386752,388018,389557,394224,399067,404416,407949,410630,412509,416288,423615,432779,443131,453771,461706,464299,460500,456379,454094,455368,462449,468343,472301,471613,475386,478312,485084,490358,504639,515590,529858,539623,543874,546615,551337,558052,561040,563039,569243,577053,586090,597657,604653,610993,612377,617891,616063,622884,629556,643607,649579,656358,652709,651047,646981,648200,651388,651535,656649,655079,655954,650630,648541,648718,650510,651168,651774,649892,650410,651195,654541,657052,655990,655954,653642,650740,650070,649933,652667,654822,657567,657138,656676,652865,650355,642749,635423,629762,622704,616021,607318,602485,597894,599502,595193,593798,592188,596509,602768,604431,606939,606643,607821,604529,602091,596157,594521,590402,586642,583296,581846,583076,584748,588774,591362,595299,595222,594961,594528,598843,603465,605954,607161,608976,610545,612177,616779,622853,631007,638533,644700,648131,654216,663419,671996,677711,686566,695245,704300,711101,720853,734395,748166,761271,771244,779307,787743,799383,808050,817739,822021,828077,833364,839451,848718,860359,869326,874877,878622,883919,890514,893794,899491,902158,902572,903658,907581,910403,909829,908707,911038,911212,908178,902142,900181,902753,908042,899352,881460,865606,863444,866090,860933,856618,857347,867836,871475,870991,865161,871321,879992,886840,887393,887486,896148,904284,907724,906759,908797,913759,920645,925532,929845,935341,938882,945551,939846,932421,917132,902714,886042,873099,866779,863637,867862,870684,873434,868693,869286,869885,875515,879442,883482,882926,876335,865172,847419
11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,95560,95372,95201,95192,95443,95716,96125,96603,97193,97475,97677,98024,98477,99201,99660,100063,100098,100514,100709,100742,100675,100936,101520,101872,102340,102605,104072,105086,106261,106670,106976,107621,108387,109856,111246,112746,113767,114973,115189,115614,115994,117029,118931,120690,122287,122915,123211,123896,124963,126153,127490,129186,131162,133127,134466,135272,136192,137566,139484,140889,142311,143789,145532,147153,148660,150299,151726,153510,154961,156557,158146,160136,162340,164598,166446,167850,168351,169843,171080,173147,173972,175167,175971,177165,178107,179220,181037,183732,187207,187848,188801,188886,191638,193752,196269,198118,201587,204873,208068,209242,211375,214234,218071,220911,224819,228022,232798,237220,239366,241344,244423,249252,252769,255237,258753,263136,268305,273742,276683,278864,280498,283139,281676,283014,284145,290113,292270,294656,292249,290589,287992,287149,286923,285668,286860,285130,284696,281400,279928,278785,276558,274664,273609,272976,272711,272449,273035,272054,269742,267790,266111,264356,264394,264256,263277,261037,257631,254455,251390,249675,248801,246708,244076,242122,240557,239355,240154,242209,246013,249628,250187,250410,250539,253860,257646,259394,260712,260957,260512,258581,256388,254530,256819,259219,262171,261479,260990,260844,261235,261469,261301,262301,263001,263268,261647,260478,258044,257512,256819,257455,257197,257556,259421,261127,262703,263499,263648,263823,264609,266000,266917,268339,270933,273751,274624,274890,275567,277735,280268,281765,282864,283474,284629,285572,286119,287225,287822,288819,290369,292419,295010,297330,300707,303303,306197,307450,308641,309170,310923,312907,312061,309754,307972,309239,310457,311262,311465,312644,313573,313691,314274,314929,317391,320396,322118,322711,322725,324624,327014,329215,333611,339055,343822,346524,349218,353045,357340,360594,363016,363980,364247,365808,365262,364822,363307,365077,367846,369325,368995,367931,368207,370744,373050,372344,370466,368793,369989,370968,371054,368158,367155,366856,368908,367896,367200,368045,370244,372026,372327,371704,371249,373445,375042
11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,123124,122453,122106,121411,121131,120852,120842,120776,120955,121157,121476,121786,122219,123302,124467,125584,126222,126960,127595,128374,128877,129328,129864,130680,131709,132198,132540,132635,132926,133477,133941,134778,135831,137477,139064,140434,141210,141960,142643,144180,146042,147838,149611,151025,152422,153124,153696,154517,155889,157840,159957,161596,162768,163990,165635,167459,169563,172080,174773,176853,178484,179811,181379,183008,184921,186547,188181,189867,190954,191758,192377,193652,195186,196743,198281,199707,201000,202633,205128,207714,209953,211116,211966,213017,214081,215273,216116,216930,217629,217988,215812,213498,212420,213783,215734,216582,217950,218898,220267,221272,222746,225348,228778,232045,234479,237084,240823,244843,248312,251650,254896,259765,263673,267000,270772,274646,278801,283066,287287,292353,295667,298352,299361,299764,301002,303003,304622,306422,308166,305416,299988,294016,291813,292178,295445,296561,297519,294935,294032,293086,292564,294090,295574,297070,297246,295841,292954,290620,288433,287155,285202,283040,280563,278645,276655,274723,271665,268987,266845,265810,264763,264345,263389,262068,260444,258973,259779,261568,263705,265194,264355,263606,262316,263406,263966,265229,266098,267638,267340,266004,265059,264623,266951,268102,269906,268467,268266,268547,270094,270464,270441,270600,270980,271193,270371,270228,270359,272192,273408,273633,273381,273585,275143,276872,277964,279311,280433,281969,283701,285585,288178,290578,292923,295503,297477,299506,302022,305066,308349,311421,313360,313707,313821,314864,317170,318595,320764,322627,325444,327779,330472,332381,334265,338044,341090,344168,345057,346740,347764,349441,349598,350635,351037,353571,356802,359997,363043,364534,367646,370656,374557,377082,380005,380438,382145,382324,382974,382539,382955,386753,389480,392501,394379,396906,399271,402167,404694,407476,409615,413573,419509,422914,426533,426813,427727,426882,428912,431391,435035,436573,438995,438330,434001,429555,424125,422868,420064,421863,422287,426009,425803,426192,424010,424671,426430,428205,430226,430121,430604,427860,424420,417852,413286
10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,228858,227851,227455,226882,227274,227087,226576,225772,225833,226140,227457,229095,232257,235767,239580,242283,244014,246199,248751,252265,254566,256296,256019,256222,256119,256229,255207,254792,255236,258032,261095,263711,265969,269687,275265,281478,285627,290573,295744,300778,303984,304539,306550,308774,313397,316344,317659,313119,305686,296376,289631,285314,284324,284228,285898,288022,288855,288129,287188,291284,299493,309367,318698,327635,334763,341956,346135,351050,355983,364527,375501,385564,393958,400643,406930,412312,416143,418560,420855,424216,428506,432674,435349,436545,439121,442359,446389,449969,457702,469454,480824,486624,490898,492721,496885,501476,504902,509440,512138,518221,521057,522591,526943,535700,547987,558420,565943,572610,581271,590468,604986,618015,630132,640005,648935,659194,665983,679799,692327,701872,712867,720921,725845,721246,724786,732612,740089,741529,739372,732666,727295,733717,733336,735111,727894,733939,736350,734294,731256,727331,726959,730155,734731,739319,743558,747752,753826,749643,741885,735407,730566,732636,739924,744324,749934,742922,737882,726452,720854,720271,718780,712703,703914,691128,676110,659469,644516,630751,622996,619470,619933,618864,617514,620283,625596,631105,632638,634809,635796,639250,639351,639754,638544,639009,642227,644153,644027,644351,648953,654165,660598,666072,669012,671668,670978,670949,668931,666989,665532,666161,665728,667992,664846,667241,671299,677041,680292,682992,688520,697108,708286,717229,726603,731348,739554,744281,750783,755542,764864,773701,783461,788852,788979,789785,790524,794844,795581,800483,808230,820810,828602,834729,836824,842666,852062,860868,867932,873104,884142,886575,882002,871521,869735,871763,873540,871378,867107,865239,865363,868903,869295,869713,870999,877347,881565,880604,873031,866505,864903,863181,857653,848882,843598,848587,859257,862657,855353,844751,846302,854935,859733,855854,855444,857275,861845,858058,848420,846124,860705,895311,930370,956471,964546,968895,957395,949065,939223,948300,961793,967167,959772,938650,916188,893297,883775,879774,883872,883306,879739,863284,844098,827133,812708
