Zip , Population
06390 ,296
10001 ,"22,767"
10002 ,"79,894"
10003 ,"57,068"
10004 ,"3,024"
10005 ,"7,570"
10006 ,"2,950"
10007 ,"6,748"
10009 ,"61,806"
10010 ,"30,708"
10011 ,"52,941"
10012 ,"24,846"
10013 ,"26,937"
10014 ,"31,835"
10016 ,"50,112"
10017 ,"16,278"
10018 ,"8,062"
10019 ,"38,752"
10020 ,1
10021 ,"42,142"
10022 ,"29,699"
10023 ,"60,762"
10024 ,"59,249"
10025 ,"97,373"
10026 ,"38,372"
10027 ,"63,057"
10028 ,"46,169"
10029 ,"77,857"
10030 ,"29,530"
10031 ,"58,912"
10032 ,"59,069"
10033 ,"60,520"
10034 ,"42,672"
10035 ,"34,760"
10036 ,"24,127"
10037 ,"18,041"
10038 ,"20,997"
10039 ,"25,952"
10040 ,"45,278"
10044 ,"12,050"
10065 ,"31,761"
10069 ,"5,523"
10075 ,"24,377"
10103 ,3
10110 ,1
10119 ,92
10128 ,"62,447"
10162 ,"1,252"
10165 ,2
10170 ,2
10171 ,1
10173 ,2
10199 ,9
10280 ,"8,817"
10282 ,"5,903"
10301 ,"39,367"
10302 ,"18,043"
10303 ,"24,348"
10304 ,"41,864"
10305 ,"41,471"
10306 ,"54,888"
10307 ,"15,006"
10308 ,"29,805"
10309 ,"33,382"
10310 ,"24,719"
10312 ,"61,105"
10314 ,"87,524"
10451 ,"47,818"
10452 ,"75,252"
10453 ,"79,002"
10454 ,"38,751"
10455 ,"39,951"
10456 ,"91,737"
10457 ,"71,015"
10458 ,"76,276"
10459 ,"48,269"
10460 ,"58,676"
10461 ,"52,435"
10462 ,"76,114"
10463 ,"71,238"
10464 ,"4,532"
10465 ,"46,360"
10466 ,"69,657"
10467 ,"99,251"
10468 ,"72,683"
10469 ,"72,241"
10470 ,"14,880"
10471 ,"21,935"
10472 ,"69,659"
10473 ,"59,948"
10474 ,"12,223"
10475 ,"44,582"
10501 ,"1,073"
10502 ,"5,396"
10503 ,172
10504 ,"7,885"
10505 ,785
10506 ,"5,303"
10507 ,"7,039"
10509 ,"19,605"
10510 ,"10,391"
10511 ,"2,349"
10512 ,"25,467"
10514 ,"12,915"
10516 ,"5,327"
10517 ,756
10518 ,"1,505"
10519 ,181
10520 ,"13,107"
10522 ,"11,001"
10523 ,"8,563"
10524 ,"4,402"
10526 ,"1,714"
10527 ,"1,156"
10528 ,"12,720"
10530 ,"12,431"
10532 ,"4,906"
10533 ,"7,484"
10535 ,573
10536 ,"10,725"
10537 ,"1,952"
10538 ,"16,803"
10541 ,"26,355"
10543 ,"20,250"
10545 ,135
10546 ,"1,149"
10547 ,"6,913"
10548 ,"3,214"
10549 ,"16,165"
10550 ,"37,421"
10552 ,"20,339"
10553 ,"10,032"
10560 ,"4,742"
10562 ,"31,453"
10566 ,"23,875"
10567 ,"20,197"
10570 ,"12,592"
10573 ,"38,656"
10576 ,"4,842"
10577 ,"6,269"
10578 ,589
10579 ,"9,264"
10580 ,"17,322"
10583 ,"39,510"
10588 ,"2,518"
10589 ,"9,376"
10590 ,"7,026"
10591 ,"23,037"
10594 ,"5,201"
10595 ,"8,577"
10596 ,"1,629"
10597 ,"1,128"
10598 ,"29,699"
10601 ,"11,524"
10603 ,"17,924"
10604 ,"11,397"
10605 ,"17,671"
10606 ,"17,293"
10607 ,"6,727"
10701 ,"59,628"
10703 ,"20,894"
10704 ,"31,198"
10705 ,"39,817"
10706 ,"8,734"
10707 ,"10,525"
10708 ,"22,497"
10709 ,"9,347"
10710 ,"27,388"
10801 ,"41,265"
10803 ,"12,523"
10804 ,"14,850"
10805 ,"18,898"
10901 ,"23,195"
10910 ,24
10911 ,2
10913 ,"5,657"
10914 ,421
10915 ,168
10916 ,"4,374"
10917 ,"1,959"
10918 ,"11,700"
10919 ,"1,647"
10920 ,"8,682"
10921 ,"4,138"
10922 ,"1,406"
10923 ,"8,705"
10924 ,"13,153"
10925 ,"4,300"
10926 ,"3,256"
10927 ,"12,060"
10928 ,"4,029"
10930 ,"8,938"
10931 ,908
10932 ,33
10933 ,797
10940 ,"48,512"
10941 ,"13,572"
10950 ,"48,838"
10952 ,"41,619"
10953 ,123
10954 ,"23,678"
10956 ,"31,090"
10958 ,"2,929"
10960 ,"15,637"
10962 ,"5,677"
10963 ,"4,219"
10964 ,"1,711"
10965 ,"14,878"
10968 ,"2,301"
10969 ,"1,665"
10970 ,"9,716"
10973 ,"2,646"
10974 ,"3,166"
10975 ,328
10976 ,"2,266"
10977 ,"60,650"
10979 ,201
10980 ,"13,746"
10983 ,"5,727"
10984 ,"3,117"
10985 ,14
10986 ,"1,887"
10987 ,"3,279"
10988 ,947
10989 ,"10,113"
10990 ,"20,029"
10992 ,"9,324"
10993 ,"5,069"
10994 ,"6,931"
10996 ,"6,892"
10998 ,"2,699"
11001 ,"27,156"
11003 ,"44,907"
11004 ,"14,045"
11005 ,"2,123"
11010 ,"25,054"
11020 ,"6,120"
11021 ,"17,478"
11023 ,"9,955"
11024 ,"7,789"
11030 ,"17,295"
11040 ,"40,799"
11042 ,542
11050 ,"30,583"
11096 ,"7,884"
11101 ,"25,317"
11102 ,"35,027"
11103 ,"38,257"
11104 ,"26,555"
11105 ,"36,816"
11106 ,"38,633"
11109 ,"4,337"
11201 ,"56,488"
11203 ,"77,011"
11204 ,"80,349"
11205 ,"43,320"
11206 ,"83,180"
11207 ,"93,465"
11208 ,"92,262"
11209 ,"72,582"
11210 ,"67,042"
11211 ,"94,681"
11212 ,"87,751"
11213 ,"62,756"
11214 ,"88,297"
11215 ,"70,156"
11216 ,"54,440"
11217 ,"38,567"
11218 ,"75,132"
11219 ,"98,719"
11220 ,"101,715"
11221 ,"83,773"
11222 ,"34,580"
11223 ,"76,651"
11224 ,"42,698"
11225 ,"59,613"
11226 ,"98,299"
11228 ,"46,059"
11229 ,"81,351"
11230 ,"87,064"
11231 ,"34,605"
11232 ,"29,452"
11233 ,"69,637"
11234 ,"95,610"
11235 ,"75,622"
11236 ,"97,714"
11237 ,"55,258"
11238 ,"51,959"
11239 ,"12,943"
11354 ,"56,433"
11355 ,"83,799"
11356 ,"23,800"
11357 ,"40,588"
11358 ,"37,634"
11360 ,"19,916"
11361 ,"30,352"
11362 ,"17,897"
11363 ,"7,625"
11364 ,"34,902"
11365 ,"43,138"
11366 ,"13,146"
11367 ,"41,582"
11368 ,"110,385"
11369 ,"39,862"
11370 ,"36,271"
11372 ,"63,202"
11373 ,"100,713"
11374 ,"41,792"
11375 ,"69,652"
11377 ,"88,939"
11378 ,"30,854"
11379 ,"35,725"
11385 ,"100,132"
11411 ,"19,177"
11412 ,"37,690"
11413 ,"41,689"
11414 ,"28,742"
11415 ,"19,020"
11416 ,"25,973"
11417 ,"31,556"
11418 ,"36,751"
11419 ,"48,370"
11420 ,"50,162"
11421 ,"42,745"
11422 ,"32,589"
11423 ,"32,053"
11426 ,"19,348"
11427 ,"23,460"
11428 ,"20,461"
11429 ,"27,506"
11430 ,171
11432 ,"62,395"
11433 ,"37,927"
11434 ,"65,255"
11435 ,"54,523"
11436 ,"18,609"
11501 ,"19,155"
11507 ,"7,224"
11509 ,"2,232"
11510 ,"33,430"
11514 ,"5,197"
11516 ,"7,513"
11518 ,"10,065"
11520 ,"43,632"
11530 ,"28,155"
11542 ,"27,691"
11545 ,"12,653"
11547 ,797
11548 ,"2,328"
11549 ,"2,337"
11550 ,"57,224"
11552 ,"22,949"
11553 ,"26,506"
11554 ,"37,513"
11556 ,17
11557 ,"7,364"
11558 ,"8,646"
11559 ,"8,402"
11560 ,"6,334"
11561 ,"37,599"
11563 ,"22,984"
11565 ,"8,820"
11566 ,"33,791"
11568 ,"4,240"
11569 ,"1,284"
11570 ,"27,896"
11572 ,"28,901"
11575 ,"16,674"
11576 ,"12,325"
11577 ,"12,788"
11579 ,"5,336"
11580 ,"41,525"
11581 ,"20,956"
11590 ,"45,972"
11596 ,"10,638"
11598 ,"12,927"
11691 ,"62,577"
11692 ,"17,970"
11693 ,"11,338"
11694 ,"21,507"
11697 ,"4,078"
11701 ,"27,423"
11702 ,"14,512"
11703 ,"16,249"
11704 ,"40,685"
11705 ,"7,571"
11706 ,"65,865"
11709 ,"6,724"
11710 ,"35,151"
11713 ,"9,530"
11714 ,"23,313"
